Princípio Ativo,Nome Comercial,Apresentação Comercial,Fabricante,Finalidade de Uso,Classe Terapêutica,Mecanismo de Ação,Via de Administração,Forma Farmacêutica,Soma de QT_APROVADA,Soma de QT_GLOSATOTAL,Soma de VL_GLOSADO,Soma de VL_APROVADO,VL_UNITÁRIO,QT_MÉDIA_MENSAL,VL_MÉDIO_MENSAL,% GLOSA,%VL APROVADO,Unnamed: 19
DOXORRUBICINA,REPEGOXA,REPEGOXA 2 MGML SUS LIB PROL DIL INFUS IV CT FA VD TRANS X 25 ML,DR. REDDYS FARMACEUTICA DO BRASIL LTDA,"Câncer de mama metastático, câncer de ovário avançado, sarcoma de Kaposi, mieloma múltiplo progressivo",L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS,"Inibe a síntese de DNA, RNA e proteínas nas células cancerosas",IV,SOLUCAO PARA DILUICAO PARA INFUSAO,956.0,52.0,11248.18,210850.47,220.55488493723848,79.66666666666667,17570.8725,0.051587301587301584,0.9484126984126984,
ACIDO ZOLEDRONICO,ZOLIBBS,ACIDO ZOLEDRONICO 4MG SOL INJ IV CT FA AMP PLAS INC X 5ML,LIBBS FARMACEUTICA LTDA ,"Câncer de próstata, hipercalcemia maligna, metástases ósseas, osteoporose",M5B4 - BISFOSFONATOS PARA ALTERAÇÕES DO CÁCIO RELACIONADAS A TUMORES,Inibidor de osteoclastos - inibe a reabsorção óssea,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,327.0,9.0,1738.339999999999,70222.47000000002,214.74761467889914,27.25,5851.872500000001,0.026785714285714284,0.9732142857142857,
DOXORRUBICINA,REPEGOXA,REPEGOXA 2 MGML SUS LIB PROL DIL INFUS IV CT FA VD TRANS X 10 ML,DR. REDDYS FARMACEUTICA DO BRASIL LTDA,"Câncer de mama metastático, câncer de ovário avançado, sarcoma de Kaposi, mieloma múltiplo progressivo",L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS,"Inibe a síntese de DNA, RNA e proteínas nas células cancerosas ao interferir com enzimas como a topoisomerase II",IV,SOLUCAO PARA DILUICAO PARA INFUSAO,321.0,0.0,0.0,68537.9,213.51370716510903,26.75,5711.491666666666,0,1.0,
ALFAEPOETINA,ALFAEPOETINA,ALFAEPOETINA 40000 UIML SOL INJ CT 1 SER PREENCHIDA X 05 ML,FUNDACAO OSWALDO CRUZ,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,4.0,4.0,1992.95,848.4,212.1,0.3333333333333333,70.7,0.5,0.5,
TRASTUZUMABE DERUXTECANA,ENHERTU,ENHERTU 100 MG PO LIOF SOL INJ IV CT FA VD AMB,DAIICHI SANKYO BRASIL FARMACEUTICA LTDA,"Câncer de mama HER2-positivo, Câncer gástrico HER2-positivo, Câncer de pulmão de não pequenas células (CPNPC) ","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-18",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal inibidor da HER2 + agente quimioterápico,IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,136661.0,19338.0,802426.4500000001,27271625.22999997,199.5567515970172,11388.416666666666,2272635.4358333307,0.12396233309187879,0.8760376669081212,
ALFAEPOETINA,ERITROMAX,ERITROMAX 4000 UIML SOL INJ CT 12 SER PREENCH X 1 ML SISTEMA SEGURANCA,BLAU FARMACEUTICA S.A.,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,238.0,0.0,0.0,46609.50999999977,195.8382773109234,19.833333333333332,3884.125833333314,0,1.0,
TRASTUZUMABE DERUXTECANA,ENHERTU,ENHERTU RESTRITO HOSP 100 MG PO LIOF SOL INJ,DAIICHI SANKYO BRASIL FARMACEUTICA LTDA,"Câncer de mama HER2-positivo, Câncer gástrico HER2-positivo, Câncer de pulmão de não pequenas células (CPNPC) ","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-19",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal inibidor da HER2 + agente quimioterápico,IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,51015.0,28550.0,197089.9899999999,9812148.510000017,192.33849867686007,4251.25,817679.0425000014,0.35882611701124867,0.6411738829887513,
ALFAEPOETINA,ALFAEPOETINA,ALFAEPOETINA HUMANA RECOMBINANTE 10000 UIML SOL INJ CX FA VD INC X 1 ML,FUNDACAO OSWALDO CRUZ,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,140.0,3.0,1049.06,26656.22999999995,190.4016428571425,11.666666666666666,2221.352499999996,0.02097902097902098,0.9790209790209791,
ALFAEPOETINA,ERITROMAX,ERITROMAX 10000 UIML SOL INJ CX FA VD INC X 1 ML,BLAU FARMACEUTICA S.A.,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,37.0,5.0,142.72,6782.650000000002,183.31486486486492,3.0833333333333335,565.2208333333335,0.11904761904761904,0.8809523809523809,
CICLOSPORINA,SANDIMMUN,SANDIMMUN 50 MGML SOL INJ CT 10 AMP VD INC X 5 ML,NOVARTIS BIOCIENCIAS S.A,"Artrite reumatoide grave ativa, psoríase, dermatite atópica, uveíte endógena, Doença de Behçet e síndrome nefrótica ou em pós transplante de órgãos sólidos ou TMO",L4X - OUTROS IMUNOSSUPRESSORES,Inibição da ativação de linfócitos T,IV,SOLUCAO INJETAVEL,34.0,0.0,0.0,6205.259999999999,182.50764705882352,2.8333333333333335,517.1049999999999,0,1.0,
ALFAEPOETINA,ALFAEPOETINA,ALFAEPOETINA HUMANA RECOMBINANTE 4000 UIML SOL INJ CX 12 FA VD INC X 1 ML,FUNDACAO OSWALDO CRUZ,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,6.0,0.0,0.0,1067.22,177.87,0.5,88.935,0,1.0,
ALFAEPOETINA,ERITROMAX,ERITROMAX 4000 UIML SOL INJ CT 1 SER PREENCH X 1 ML SISTEMA SEGURANCA,BLAU FARMACEUTICA S.A.,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,169.0,0.0,0.0,28983.7700000001,171.50159763313667,14.083333333333334,2415.3141666666747,0,1.0,
BORTEZOMIBE,BOZORED,BOZORED 35 MG PO LIOF SOL INJ CT FA VD TRANS,DR. REDDYS FARMACEUTICA DO BRASIL LTDA,"Mieloma múltiplo, linfoma do manto",L1J - ANTINEOPLÁSICOS INIBIDORES DE PROTEASSOMA,Inibidor de proteassoma,IV/SC,PO LIOFILO PARA SOLUCAO INJETAVEL,59.0,0.0,0.0,9841.95,166.8127118644068,4.916666666666667,820.1625,0,1.0,
FILGRASTIM,TEVAGRASTIM,TEVAGRASTIM 300 MCG SOL INJ CT 1 SER PREENC VD INC X 05 ML DISPOSITIVO DE SEGURANCA,TEVA FARMACEUTICA LTDA,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,424.0,30.0,4421.059999999999,69428.59000000007,163.74667452830204,35.333333333333336,5785.715833333339,0.06607929515418502,0.933920704845815,
DOXORRUBICINA,DOXOPEG,DOXOPEG RESTRITO HOSP 2 MGML SUSP INJ FA VD X ,ADIUM S.A.,"Câncer de mama metastático, câncer de ovário avançado, sarcoma de Kaposi, mieloma múltiplo progressivo",L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS,"Inibe a síntese de DNA, RNA e proteínas nas células cancerosas ao interferir com enzimas como a topoisomerase II",IV,SUSPENSAO INJETAVEL,4959.0,840.0,2454.65,797742.2599999994,160.86756604154053,413.25,66478.52166666662,0.14485256078634248,0.8551474392136575,
ALFAEPOETINA,EPREX,EPREX 4000 UI SOL INJ CT 6 SER PREENCHIDA X 04 ML,JANSSEN-CILAG FARMACEUTICA LTDA,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,2.0,0.0,0.0,313.9,156.95,0.16666666666666666,26.15833333333333,0,1.0,
FILGRASTIM,ZARZIO,FILGRASTIM 30 MU (300 MCG) SOL INJ CT 5 FA VD INC X 1 ML,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,1381.0,130.0,5719.319999999998,211182.2500000001,152.91980448950042,115.08333333333333,17598.52083333334,0.08603573792190602,0.913964262078094,
CABAZITAXEL,CABAZRED,CABAZRED 60 MG SOL INJ CT FR AMP VD TRANS X15ML DIL FR AMP VD TRANS X 45 ML,DR. REDDYS FARMACEUTICA DO BRASIL LTDA,Câncer de próstata metastático resistente à castração,L1C2 - AGENTES ANTINEOPLÁSICOS TAXANOS,Agente antineoplásico que impede a divisão e multiplicação celular,IV,SOLUCAO INJETAVEL+SOLUCAO DILUENTE,224.0,60.0,2923.76,33468.1,149.4111607142857,18.666666666666668,2789.008333333333,0.2112676056338028,0.7887323943661972,
ABATACEPTE,ORENCIA,ORENCIA 250 MG PO LIOF INJ CT FA SER DESC,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,"Artrite reumatoide, artrite psoriásica, artrite idiopática juvenil",M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,Modulador seletivo da coestimulação de linfócitos T,IV/SC,SOLUCAO INJETAVEL,11062.0,6.0,436.54,1544626.82,139.63359428674744,921.8333333333334,128718.90166666667,0.0005421033610408384,0.9994578966389591,
FILGRASTIM,ZARZIO,ZARZIO 30 MUI SOL INJ CT 1 SER PREENC VD TRANS X 05 ML,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,2180.0,155.0,41336.87000000003,299328.2800000028,137.30655045871688,181.66666666666666,24944.023333333567,0.06638115631691649,0.9336188436830835,
ACIDO ZOLEDRONICO,ZOLIBBS,ACIDO ZOLEDRONICO 4 MG PO LIOF SOL INJ IV CX FA VC AMB,LIBBS FARMACEUTICA LTDA ,"Câncer de próstata, hipercalcemia maligna, metástases ósseas, osteoporose",M5B4 - BISFOSFONATOS PARA ALTERAÇÕES DO CÁCIO RELACIONADAS A TUMORES,Inibidor de osteoclastos - inibe a reabsorção óssea,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,61.0,0.0,179.34,8304.930000000002,136.14639344262298,5.083333333333333,692.0775000000002,0,1.0,
DOXORRUBICINA,DOXOPEG,DOXOPEG 2 MGML SUS INJ CT FA VD INC X 10 ML,ADIUM S.A.,"Câncer de mama metastático, câncer de ovário avançado, sarcoma de Kaposi, mieloma múltiplo progressivo",L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS,"Inibe a síntese de DNA, RNA e proteínas nas células cancerosas ao interferir com enzimas como a topoisomerase II",IV,SUSPENSAO INJETAVEL,6827.0,682.0,37187.98,895748.6599999998,131.20677603632632,568.9166666666666,74645.72166666665,0.09082434412038887,0.9091756558796111,
CARFILZOMIBE,KYPROLIS,KYPROLIS 60 MG PO LIOF SOL INJ CT 1 FA VD TRANS,AMGEN BIOTECNOLOGIA DO BRASIL LTDA,Mieloma múltiplo recidivado ou refratário,L1J - ANTINEOPLÁSICOS INIBIDORES DE PROTEASSOMA,Inibidor de proteassoma,IV,PO LIOFILIZADO PARA SOLUCAO PARA INFUSAO,38444.0,3168.0,29312.63000000001,5022160.870000016,130.63575252315098,3203.6666666666665,418513.40583333466,0.07613188503316351,0.9238681149668365,
BORTEZOMIBE,VERAZO,BORTEZOMIBE 35 MG PO LIOF SOL INJ CT FA VD TRANS,LIBBS FARMACEUTICA LTDA ,"Mieloma múltiplo, linfoma do manto",L1J - ANTINEOPLÁSICOS INIBIDORES DE PROTEASSOMA,Inibidor de proteassoma,IV/SC,PO LIOFILO PARA SOLUCAO INJETAVEL,465.0,12.0,1478.94,59654.51999999992,128.28929032258046,38.75,4971.209999999993,0.025157232704402517,0.9748427672955975,
ALFAEPOETINA,EPREX,EPREX 4000 UI SOL INJ CT 6 SER PREENCHIDA X 04 ML 1 DISPOSITIVO,JANSSEN-CILAG FARMACEUTICA LTDA,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,198.0,0.0,0.0,25189.56000000004,127.22000000000021,16.5,2099.1300000000033,0,1.0,
CARFILZOMIBE,KYPROLIS,KYPROLIS RESTRITO HOSP CONVENIO 13221 60 MG PO L,AMGEN BIOTECNOLOGIA DO BRASIL LTDA,Mieloma múltiplo recidivado ou refratário,L1J - ANTINEOPLÁSICOS INIBIDORES DE PROTEASSOMA,Inibidor de proteassoma,IV,PO LIOFILIZADO PARA SOLUCAO PARA INFUSAO,6508.0,6508.0,311.4599999999995,781530.4400000011,120.08765212046728,542.3333333333334,65127.53666666676,0.5,0.5,
TRASTUZUMABE ENTANSINA,KADCYLA,KADCYLA 160 MG PO LIOF SOL INJ IV CT FA VD TRANS,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Câncer de mama HER2-positivo metastático ou localmente avançado não ressecável, Câncer de mama HER2-positivo inicial","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-21",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal inibidor da HER2 + Agente quimioterápico (DM1: inibidor de microtúbulos),IV,PO LIOFILO PARA SOLUCAO INJETAVEL,19088.0,3440.0,19497.32,2061181.750000002,107.98311766554914,1590.6666666666667,171765.14583333352,0.15269886363636365,0.8473011363636364,
TRASTUZUMABE ENTANSINA,KADCYLA,KADCYLA RESTRITO HOSP 100 MG PO LIOF SOL INJ ,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Câncer de mama HER2-positivo metastático ou localmente avançado não ressecável, Câncer de mama HER2-positivo inicial","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-22",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal inibidor da HER2 + Agente quimioterápico (DM1: inibidor de microtúbulos),IV,PO LIOFILO PARA SOLUCAO INJETAVEL,10598.0,2683.0,11130.51,1140173.48,107.58383468578977,883.1666666666666,95014.45666666667,0.202017920337324,0.797982079662676,
TRASTUZUMABE ENTANSINA,KADCYLA,KADCYLA RESTRITO HOSP 160 MG PO LIOF SOL INJ ,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Câncer de mama HER2-positivo metastático ou localmente avançado não ressecável, Câncer de mama HER2-positivo inicial","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-23",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal inibidor da HER2 + Agente quimioterápico (DM1: inibidor de microtúbulos),IV,PO LIOFILO PARA SOLUCAO INJETAVEL,3531.0,684.0,873.5499999999998,378373.4800000001,107.15759841404704,294.25,31531.12333333334,0.16227758007117438,0.8377224199288256,
TRASTUZUMABE ENTANSINA,KADCYLA,KADCYLA 100 MG PO LIOF SOL INJ IV CT FA VD TRANS,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Câncer de mama HER2-positivo metastático ou localmente avançado não ressecável, Câncer de mama HER2-positivo inicial","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-20",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal inibidor da HER2 + Agente quimioterápico (DM1: inibidor de microtúbulos),IV,PO LIOFILO PARA SOLUCAO INJETAVEL,42152.0,10044.0,44352.18000000003,4493639.66,106.60560969823496,3512.6666666666665,374469.9716666667,0.1924285385853322,0.8075714614146678,
ALFAEPOETINA,ERITROMAX,ERITROMAX 10000 UIML SOL INJ CT 1 SER PREENCH X 1 ML SISTEMA SEGURANCA,BLAU FARMACEUTICA S.A.,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,29.0,0.0,0.0,2913.01,100.44862068965519,2.4166666666666665,242.75083333333336,0,1.0,
FILGRASTIM,FILGRASTINE,FILGRASTINE 300 MCGML SOL INJ CT 01 FA VD INC X 1 ML,BLAU FARMACEUTICA S.A.,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,1659.0,61.0,6048.189999999999,166256.4399999983,100.21485232067408,138.25,13854.703333333193,0.035465116279069765,0.9645348837209302,
FILGRASTIM,FILGRASTINE,FILGRASTINE 300 MCGML SOL INJ CT 12 FA VD INC X 1 ML,BLAU FARMACEUTICA S.A.,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,15.0,0.0,0.0,1386.56,92.43733333333333,1.25,115.54666666666667,0,1.0,
ALFAEPOETINA,ERITROMAX,ERITROMAX 10000 UIML SOL INJ CX 12 FA VD INC X 1 ML,BLAU FARMACEUTICA S.A.,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV/SC,SOLUCAO PARA DILUICAO PARA INFUSAO,12.0,0.0,0.0,1047.66,87.305,1,87.305,0,1.0,
ACIDO ZOLEDRONICO,ZOLIBBS,ACIDO ZOLEDRONICO 4 MG SOL INJ IV CT FA VD TRANS X 5 ML,LIBBS FARMACEUTICA LTDA ,"Câncer de próstata, hipercalcemia maligna, metástases ósseas, osteoporose",M5B4 - BISFOSFONATOS PARA ALTERAÇÕES DO CÁCIO RELACIONADAS A TUMORES,Inibidor de osteoclastos - inibe a reabsorção óssea,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,8.0,0.0,0.0,694.8399999999999,86.85499999999999,0.6666666666666666,57.90333333333333,0,1.0,
RITUXIMABE,VIVAXXIA,VIVAXXIA ICMS 0RESTRITO HOSP 500 MG 1 FA,LIBBS FARMACEUTICA LTDA ,"Linfoma não-Hodgkin de células B, leucemia linfocítica crônica (LLC), Artrite Reumatoide (AR), Granulomatose de Wegener, Poliangiite microscópica (PAM), Pênfigo vulgar (PV)","L1G1 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, CD37",Anticorpo monoclonal ligante do CD20 que destrói linfócitos B,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,3523.0,3004.0,11178.36,300452.52,85.28314504683509,293.5833333333333,25037.710000000003,0.46024207139574075,0.5397579286042593,
FILGRASTIM,FILGRASTINE,FILGRASTINE 600 MCGML SOL INJ CT 01 SER PREENCH VD INC X 05 ML SISTEMA DE SEGURANCA,BLAU FARMACEUTICA S.A.,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,61.0,0.0,0.0,5087.070000000006,83.39459016393452,5.083333333333333,423.9225000000005,0,1.0,
AMIVANTAMABE,RYBREVANT,RYBREVANT 350 MG SOL DIL INFUS CT FA VD TRANS X 7 ML,JANSSEN-CILAG FARMACEUTICA LTDA,Câncer de pulmão de não pequenas células (CPNPC),"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",Anticorpo biespecífico bloqueador dos receptores de fator de crescimento epidérmico (EGFR) e de transição mesenquimal-epitelial (MET),IV,SOLUCAO PARA DILUICAO PARA INFUSAO,34774.0,4200.0,6.81,2882156.910000002,82.88252458733542,2897.8333333333335,240179.74250000017,0.10776415045928055,0.8922358495407194,
IMUNOGLOBULINA ANTITETÂNICA,TETANOGAMMA,TETANOGAMMA 250 UIML SOL INJ CT SER PREENC VD TRANS X 1 ML,CSL BEHRING,Imunoglobulina anti-tetânica,J6G1 - IMUNOGLOBULINA TETÂNICA,Proteção passiva imediata,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,113.0,0.0,0.0,9061.929999999991,80.1940707964601,9.416666666666666,755.1608333333326,0,1.0,
MITOXANTRONA,EVOMIXAN,EVOMIXAN RESTRITO HOSP 2 MGML SOL INJ CT FA V,FARMARIN INDUSTRIA E COMERCIO LTDA ,"Câncer de mama avançado ou metastático, Leucemia Mieloide Aguda (LMA), Linfoma não-Hodgkin, Câncer de próstata avançado resistente à castração",L1D - AGENTES ANTINEOPLÁSICOS ANTIBIÓTICOS,"Agente antineoplásico citotóxico que reage com o DNA, impedindo a sínstese de DNA e RNA",IV,SOLUCAO INJETAVEL,48.0,0.0,0.0,3833.76,79.87,4,319.48,0,1.0,
TRASTUZUMABE,HERCEPTIN,HERCEPTIN SC 600 MG SOL INJ SC CT FA VD TRANS X 5 ML,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Câncer de mama HER2-positivo, câncer gástrico HER2-positivo","L1G3 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, HER-6",Anticorpo monoclonal inibidor da HER2,IV/SC,PO LIOFILIZADO PARA SOLUCAO INJETAVEL+SOLUCAO DILUENTE,13252.0,5404.0,79077.1,1057994.169999999,79.83656580138839,1104.3333333333333,88166.18083333324,0.2896655231560892,0.7103344768439108,
FILGRASTIM,FIPRIMA,FIPRIMA 60 MUML SOL INJ 1 SER PREENCH X 05ML SIST SEGURANCA,EUROFARMA LABORATORIOS S.A.,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,736.0,0.0,0.0,57712.43999999999,78.4136413043478,61.333333333333336,4809.369999999999,0,1.0,
DOCETAXEL,DOCELIBBS,DOCELIBBS RESTRITO HOSP 120 MG6 ML FA,LIBBS FARMACEUTICA LTDA ,"Câncer de mama, câncer de pulmão não pequenas células avançado ou metastático, adenocarcinoma gástrico, câncer de cabeça e pescoço, câncer de ovário",L1C2 - AGENTES ANTINEOPLÁSICOS TAXANOS,Impedem a divisão celular como ligante da tubulina e a despolimerizacão de microtúbulos,IV,SOLUCAO INJETAVEL,116.0,0.0,0.0,8956.36,77.21000000000001,9.666666666666666,746.3633333333333,0,1.0,
DOCETAXEL,DOCELIBBS,DOCELIBBS RESTRITO HOSP 80 MG SOL INJ OR 1 FA,LIBBS FARMACEUTICA LTDA ,"Câncer de mama, câncer de pulmão não pequenas células avançado ou metastático, adenocarcinoma gástrico, câncer de cabeça e pescoço, câncer de ovário",L1C2 - AGENTES ANTINEOPLÁSICOS TAXANOS,Impedem a divisão celular como ligante da tubulina e a despolimerizacão de microtúbulos,IV,SOLUCAO INJETAVEL,1703.0,228.0,449.77,129300.58,75.92517909571345,141.91666666666666,10775.048333333334,0.11807353702744691,0.8819264629725531,
RITUXIMABE,VIVAXXIA,VIVAXXIA ICMS 0RESTRITO HOSP 100 MG 2 FA,LIBBS FARMACEUTICA LTDA ,"Linfoma não-Hodgkin de células B, leucemia linfocítica crônica (LLC), Artrite Reumatoide (AR), Granulomatose de Wegener, Poliangiite microscópica (PAM), Pênfigo vulgar (PV)","L1G1 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, CD36",Anticorpo monoclonal ligante do CD20 que destrói linfócitos B,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,2054.0,1710.0,35000.0,149685.94,72.8753359298929,171.16666666666666,12473.828333333333,0.4543039319872476,0.5456960680127524,
ALFAEPOETINA,ALFAEPOETINA,ALFAEPOETINA HUMANA RECOMBINANTE 4000 UIML SOL INJ CX FA VD INC X 1 ML,FUNDACAO OSWALDO CRUZ,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,232.0,25.0,2482.870000000001,16904.58000000005,72.86456896551745,19.333333333333332,1408.715000000004,0.09727626459143969,0.9027237354085603,
DOCETAXEL,TAXONTAS,TAXONTAS 20 MGML SOL DIL INFUS INJ CT FA VD TRANS X 4 ML,ACCORD FARMACEUTICA LTDA,"Câncer de mama, câncer de pulmão não pequenas células avançado ou metastático, adenocarcinoma gástrico, câncer de cabeça e pescoço, câncer de ovário",L1C2 - AGENTES ANTINEOPLÁSICOS TAXANOS,Impedem a divisão celular como ligante da tubulina e a despolimerizacão de microtúbulos,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,827.0,321.0,28493.15,58948.30000000002,71.2796856106409,68.91666666666667,4912.3583333333345,0.27961672473867594,0.7203832752613241,
ALFAEPOETINA,ERITROPOIETINA,ERITROPOIETINA 10000 UIML INJ CT 20 FA VD INC X 1 ML,CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA,Antianêmico,B3C - ERITROPOIETÍNAS,Estimulador da eritropoiese,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,26.0,0.0,0.0,1826.380000000001,70.24538461538465,2.1666666666666665,152.1983333333334,0,1.0,
DECITABINA,DACOGEN,DACOGEN 50 MG PO LIOF INJ CT FA VD INC,JANSSEN-CILAG FARMACEUTICA LTDA,"Leucemia Mieloide Aguda (LMA), Síndrome Mielodisplásica (SMD)",L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,Agente hipometilante (leva à hipometilação do DNA que reativa genes supressores silenciados - levam à morte celular),IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,630.0,90.0,2224.5,43380.47999999999,68.85790476190475,52.5,3615.039999999999,0.125,0.875,
CABAZITAXEL,PROAZITAX,PROAZITAX 40MG SOL INJ IV CT FA VD TRANS X 1ML DIL FA VD TRANS X 3ML,EUROFARMA LABORATORIOS S.A.,Câncer de próstata metastático resistente à castração,L1C2 - AGENTES ANTINEOPLÁSICOS TAXANOS,Agente antineoplásico que impede a divisão e multiplicação celular,IV,SOLUCAO INJETAVEL+SOLUCAO DILUENTE,40.0,0.0,0.0,2716.56,67.914,3.3333333333333335,226.38,0,1.0,
FILGRASTIM,FILGRASTINE,FILGRASTINE 600 MCGML SOL INJ CT 12 SER PREENCHIDA VD INC X 05 ML SISTEMA DE SEGURANCA,BLAU FARMACEUTICA S.A.,"Neutropenia induzida por quimioterapia, pós-TMO",L3A1 - FATORES ESTIMULANTES DE COLÔNIAS,Fator estimulador de colônias de granulócitos (G-CSF),IV/SC,SOLUCAO INJETAVEL,15.0,0.0,0.0,990.6800000000002,66.04533333333335,1.25,82.55666666666669,0,1.0,
TOPOTECANA,CLORIDRATO DE TOPOTECANA,CLORIDRATO DE TOPOTECANA 4 MG PO LIOF SOL INJ CT FA VD TRANS X 4 ML,ACCORD FARMACEUTICA LTDA,"Carcinoma metastático de ovário após falha de quimioterapia prévia, Câncer de pulmão de pequenas células (CPPC) sensível após falha da quimioterapia de primeira linha, Carcinoma de colo de útero",L1C3 - AGENTES ANTINEOPLÁSICOS CAMPTOTECINAS,Antineoplásico inibidor da topoisomerase I,IV,SOLUCAO INJETAVEL,39.0,0.0,0.0,2562.25,65.69871794871794,3.25,213.52083333333334,0,1.0,
